model,source,bacterial_n,viral_n,filename_groups,roc_auc,ci95_low,ci95_high
pneunet_v2,train,223,141,235,0.8159526762713482,0.7449443314821212,0.8857647696021611
pneunet_v2,test,33,20,31,0.9893939393939394,0.958326048951049,1.0
group_oof_fixed_stack,train,223,141,235,0.812613300257609,0.7477360812284936,0.8741094300118137
group_oof_fixed_stack,test,33,20,31,0.9787878787878788,0.9289473684210526,1.0
cernet_resnet50_tuned,train,223,141,235,0.7871068282288586,0.7297873118748062,0.8439183297911239
cernet_resnet50_tuned,test,33,20,31,0.9727272727272728,0.9075696524509105,1.0
