model,n_images,n_groups,roc_auc,pr_auc,accuracy,balanced_accuracy,viral_sensitivity,viral_specificity,viral_f1,threshold,auc_ci_low,auc_ci_high
fixed_quantile_stacked_ensemble,417,266,0.85743400621118,0.7884286456779721,0.7721822541966427,0.7591348020186335,0.7018633540372671,0.81640625,0.7040498442367601,0.5,0.7940151399558616,0.9162556038696195
pneunet_embedding_svm,417,266,0.8529939829192547,0.7607601673576834,0.7649880095923262,0.7475131017080745,0.6708074534161491,0.82421875,0.6878980891719745,0.6348699763593381,0.8023893731172764,0.9029748353222488
pneunet_v2,417,266,0.8460306677018634,0.7772258861975284,0.7769784172661871,0.754973796583851,0.6583850931677019,0.8515625,0.6950819672131148,0.496858537197113,0.7832932091269738,0.9057068966042563
efficientnet_b0,417,266,0.8233695652173912,0.731434761691092,0.7362110311750599,0.7505822981366459,0.8136645962732919,0.6875,0.7043010752688172,0.5,0.7638105759761669,0.8826494240175904
cernet_resnet50_tuned,417,266,0.8192934782608695,0.7337179988883731,0.7410071942446043,0.7129998059006211,0.5900621118012422,0.8359375,0.6375838926174496,0.7451735734939575,0.7716579481735896,0.8687766743834416
cernet_resnet50,417,266,0.7764945652173912,0.7061947658247949,0.7194244604316546,0.7034889363354038,0.6335403726708074,0.7734375,0.6355140186915887,0.4870421588420868,0.7208559787176616,0.8378528300500495
hog_linear_svm,417,266,0.7345448369565217,0.6170900085663654,0.6738609112709832,0.6560073757763976,0.577639751552795,0.734375,0.577639751552795,0.5,0.6834001132075579,0.788134519481321
