task,comparison,auc_difference,ci95_low,ci95_high
stage1,pneunet - hog_linear_svm,0.018319521597911614,0.00814752684331454,0.030504382486838413
stage2,pneunet - hog_linear_svm,0.060777368012422284,0.010530975688385019,0.11184697155580059
