comparison,auc_difference,ci95_low,ci95_high,conclusive
stage1_pneunet_minus_hog,0.018319521597911614,0.008476615726742562,0.030921780578618083,True
stage2_pneunet_v2_minus_hog,0.11148583074534157,0.06059119411432755,0.1612196076511116,True
stage2_cernet_tuned_minus_baseline,0.04279891304347816,0.02030210710725513,0.06647606725958861,True
