model,forced_accuracy,equal_coverage,equal_coverage_n,rejected_n,selective_accuracy_equal_coverage
cernet_resnet50,0.7194244604316546,0.8633093525179856,360,57,0.7555555555555555
cernet_resnet50_tuned,0.7410071942446043,0.8633093525179856,360,57,0.7583333333333333
