model,n_images,n_filename_groups,bootstrap_repetitions,resampling_unit,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,seed
Pediatric SimSiam initialization,3856,2387,2000,subtype-namespaced filename group,0.8123631753782308,0.7918375137628157,0.8326738880623132,0.6947935097446558,0.6643228748430174,0.7268060012120521,20260727
ImageNet initialization,3856,2387,2000,subtype-namespaced filename group,0.8319989958262541,0.8125952514593799,0.8513510772451998,0.7222154443952105,0.6914950086289694,0.7526116868528722,20260727
Fixed 50:50 probability fusion,3856,2387,2000,subtype-namespaced filename group,0.8428384803186704,0.8232784265469115,0.860902018072321,0.7378046849677744,0.7087230725418464,0.7657682493972047,20260727
