model,auc_difference_test_minus_train,ci95_low,ci95_high
pneunet_v2,0.17344126312259123,0.09890212300286662,0.24825717739115574
group_oof_fixed_stack,0.16617457853026973,0.09047374107474121,0.24039084804226438
cernet_resnet50_tuned,0.1856204444984142,0.10508669246904032,0.25841614710751354
