analysis,auroc,auroc_low,auroc_high,auprc,auprc_low,auprc_high,sensitivity,sensitivity_low,sensitivity_high,specificity,specificity_low,specificity_high
"Frozen whole-image
external run",0.6423741007194245,0.5832362970445296,0.7006216664133388,0.5584567306236344,0.47816696590570784,0.6453269508730828,0.06474820143884892,0.027972027972027972,0.10898437499999986,0.99,0.9744897959183674,1.0
"Lung-field crop
post-result sensitivity",0.6940647482014388,0.6360880929278422,0.7493760886208196,0.6128328361362988,0.5298561996088195,0.6973310480486467,0.2446043165467626,0.1755663229899871,0.3203125,0.915,0.8749849033816425,0.9516129032258065
"Crop + intensity
post-result sensitivity",0.6703597122302158,0.6121677096890317,0.7267154773256665,0.5524264271633414,0.47594294658719044,0.6458782134548305,0.5179856115107914,0.43608082706766915,0.6046511627906976,0.71,0.6461538461538462,0.771280395136778
"VinDr internal OOF
(not external validation)",0.6665467625899281,0.6069858834834183,0.7245678067270206,0.5663438133896253,0.48682609358968804,0.6612268249020072,0.48201438848920863,0.39996732026143794,0.5673758865248227,0.745,0.681592039800995,0.805
