analysis,n_images,n_groups,auc,ci95_low,ci95_high,bootstrap_replicates
minimal_metadata,5265,3795,0.6910661700418892,0.6611237882189609,0.7219855700911074,5000
extended_technical_features,5265,3795,0.7158159104589858,0.6891958120034157,0.742685974495383,5000
within_bacterial_extended,2516,1286,0.6250624788712531,0.5751127873727041,0.6717651242817033,5000
within_viral_extended,1332,1094,0.5818560527408638,0.5211563220316155,0.6452013878843457,5000
class_balanced_pooled_extended,1096,902,0.7492807288614204,0.7183495130370966,0.7808792318487605,5000
extended_plus_disease_label_covariate,5265,3795,0.7661297311015136,0.7412146749058267,0.7926931642195886,5000
