table,model,n_images,n_filename_groups,threshold,bootstrap_repetitions,seed,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high
table3_stage2,Group-out-of-fold fixed stack,417,266,0.5094855284967313,2000,20260727,0.8407899844720497,0.7871106604670105,0.8932480838100175,0.7396861367964594,0.6502865523192124,0.8339922846813913,0.7745803357314148,0.720296596967389,0.8268803662169265,0.7806798330745341,0.7278128457516417,0.8342203280383684,0.8074534161490683,0.7319483844184598,0.8838756428237494,0.75390625,0.676577192215176,0.8237601704765594,0.7344632768361582,0.6666666666666666,0.7948260731094517
table3_stage2,Embedding SVM,417,266,0.6348699763593381,2000,20260727,0.8529939829192547,0.8019480499349486,0.9023342713400252,0.7607601673576834,0.6869082406403628,0.8390839011234739,0.7649880095923262,0.692124967087941,0.8321431179929153,0.7475131017080745,0.6735593574747987,0.8225891698842688,0.6708074534161491,0.5326446060087672,0.8074145299145299,0.82421875,0.7551020408163265,0.8844659822249463,0.6878980891719745,0.5958670683487102,0.7724550898203593
table3_stage2,PneuNet-v2,417,266,0.49685854,2000,20260727,0.8460306677018634,0.7846504965888366,0.904223284880032,0.7772258861975284,0.7011947354563044,0.8538710883159407,0.7769784172661871,0.6989384543433632,0.8431902922871748,0.754973796583851,0.6826379727150812,0.8281432603958472,0.6583850931677019,0.5284643219193512,0.7902306648575305,0.8515625,0.7906137184115524,0.9029850746268656,0.6950819672131148,0.6034831644328211,0.781024969893583
table3_stage2,EfficientNet-B0,417,266,0.60029346,2000,20260727,0.8233695652173912,0.7586949962968209,0.8814176174274753,0.731434761691092,0.6520272910413335,0.8126849302116004,0.7314148681055156,0.6674791666666666,0.7930218628820619,0.7351513975155279,0.6671494083624224,0.8028375805056421,0.7515527950310559,0.6390173668752395,0.8682221542227662,0.71875,0.6457214125560538,0.7878818181818181,0.6836158192090396,0.6094071844591235,0.7557153806147866
table3_stage2,Tuned CER-Net,417,266,0.7451735734939575,2000,20260727,0.8192934782608695,0.7710800668275103,0.8653560028083446,0.7337179988883731,0.6565878149387268,0.8070906817309889,0.7410071942446043,0.6749905097613883,0.7995170523330221,0.7129998059006211,0.6559408286824596,0.7716989731825472,0.5900621118012422,0.4870432411903534,0.7005678542603482,0.8359375,0.7824381310022163,0.8833333333333333,0.6375838926174496,0.5590518041305443,0.7106986146806242
table3_stage2,CER-Net baseline,417,266,0.4870421588420868,2000,20260727,0.7764945652173912,0.717122272904484,0.8340491891361653,0.7061947658247949,0.6302583374546703,0.784973952973255,0.7194244604316546,0.6636723139655597,0.7705763664125738,0.7034889363354038,0.6517569937242375,0.7567361740687428,0.6335403726708074,0.5492828924768122,0.7293292192746016,0.7734375,0.7095303890891776,0.8287937743190662,0.6355140186915887,0.5666608391608392,0.7044025157232704
table3_stage2,HOG linear SVM,417,266,0.5,2000,20260727,0.7345448369565217,0.682886562083765,0.7909904039526339,0.6170900085663654,0.5261423415816971,0.7158537604286399,0.6738609112709832,0.6177831799287411,0.7298085516809915,0.6560073757763976,0.602183943596437,0.7158111287037333,0.577639751552795,0.4836911729574772,0.6818315508021389,0.734375,0.677566324992463,0.7909124830393487,0.577639751552795,0.5089610680918294,0.6526977202864301
