table,model,n_images,n_filename_groups,threshold,bootstrap_repetitions,seed,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high
table2_stage1,Deep ensemble,575,424,0.5,2000,20260727,0.9957805907172996,0.9924048498335126,0.998360363771448,0.998410398959287,0.9969027715436948,0.9993961653004814,0.951304347826087,0.9318549114720804,0.9690351275342196,0.9644613423185502,0.9489351054246474,0.9773962765957448,0.935251798561151,0.9081018823701752,0.9584436531210724,0.9936708860759492,0.9793103448275862,1.0,0.9653465346534652,0.949748743718593,0.9778893978778104
table2_stage1,PneuNet,575,424,0.5,2000,20260727,0.9954011474364812,0.9916156587553115,0.9982394675937398,0.9983324909476172,0.996770836602006,0.9993663322023146,0.954782608695652,0.9355386647184444,0.9719942742595132,0.9609628752694048,0.9430999259243308,0.9761399671951886,0.947242206235012,0.9230769230769232,0.968449582276308,0.9746835443037974,0.9477124183006536,0.9940476190476192,0.9681372549019608,0.9536833557710064,0.9804406378431696
table2_stage1,ResNet-18,575,424,0.5,2000,20260727,0.9949154600370338,0.9902679041776744,0.9981447232796256,0.9980849783530876,0.9962313829099252,0.9993351316532072,0.9113043478260868,0.8844017869368753,0.9332190978324546,0.93688340466867,0.9175253590039062,0.9536444396274648,0.8800959232613909,0.8423615684518321,0.9110602932801822,0.9936708860759492,0.9791593309859156,1.0,0.935031847133758,0.9131622214103032,0.9526043089858118
table2_stage1,EfficientNet-B0,575,424,0.5,2000,20260727,0.993761952463346,0.9888512639953508,0.9972218377368804,0.9976088353903536,0.9954353912214948,0.9990062834477808,0.9495652173913044,0.9301883651437084,0.9666666666666668,0.953434720577968,0.933085993543759,0.97071283298172,0.9448441247002398,0.9205544410542248,0.9654379124324431,0.9620253164556962,0.9295752076561936,0.9876543209876544,0.9645042839657284,0.9496015647638364,0.9770825266357858
table2_stage1,HOG linear SVM,575,424,0.5,2000,20260727,0.9770816258385696,0.9641812423996398,0.9881145195740352,0.9903236067245912,0.982671930712272,0.995692187922209,0.937391304347826,0.915785221581782,0.956452546539039,0.9312828218437909,0.9065102545219133,0.953250060576713,0.9448441247002398,0.920591255240866,0.965858900783578,0.9177215189873418,0.8742138364779874,0.9562567934782608,0.9563106796116504,0.940279542566709,0.9700625268799418
